protocol,N,regen,memory,cooperation_mean,cooperation_std,gini_mean,gini_std,stability_mean,stability_std,collapse_rate
mediator,3,3,M0,0.6333333333333333,0.0,0.060606060606060774,0.0,0.11444444444444443,1.5515838457795457e-17,0.0
mediator,3,3,M1,0.6333333333333333,0.0,0.060606060606060774,0.0,0.11444444444444443,1.5515838457795457e-17,0.0
mediator,3,5,M0,0.4444444444444445,6.206335383118183e-17,0.26666666666666683,0.0,0.0,0.0,0.0
mediator,3,5,M1,0.4444444444444445,6.206335383118183e-17,0.26666666666666683,0.0,0.0,0.0,0.0
mediator,3,8,M0,0.4444444444444445,6.206335383118183e-17,0.26666666666666683,0.0,0.0,0.0,0.0
mediator,3,8,M1,0.4444444444444445,6.206335383118183e-17,0.26666666666666683,0.0,0.0,0.0,0.0
mediator,5,3,M0,0.5466666666666666,0.0,0.2588235294117647,0.0,0.11200000000000002,0.0,1.0
mediator,5,3,M1,0.5466666666666666,0.0,0.2588235294117647,0.0,0.11200000000000002,0.0,1.0
mediator,5,5,M0,0.5555555555555556,0.0,0.28,0.0,0.08888888888888888,0.0,1.0
mediator,5,5,M1,0.5555555555555556,0.0,0.28,0.0,0.08888888888888888,0.0,1.0
mediator,5,8,M0,0.4666666666666667,0.0,0.25,0.0,0.0,0.0,0.0
mediator,5,8,M1,0.4666666666666667,0.0,0.25,0.0,0.0,0.0,0.0
mediator,7,3,M0,0.5079365079365079,0.0,0.3317972350230416,0.0,0.03174603174603175,0.0,1.0
mediator,7,3,M1,0.5079365079365079,0.0,0.3317972350230416,0.0,0.03174603174603175,0.0,1.0
mediator,7,5,M0,0.4920634920634921,0.0,0.2946428571428572,0.0,0.03174603174603175,0.0,1.0
mediator,7,5,M1,0.4920634920634921,0.0,0.2946428571428572,0.0,0.03174603174603175,0.0,1.0
mediator,7,8,M0,0.49523809523809526,0.0,0.30188679245283034,0.0,0.034285714285714294,0.0,1.0
mediator,7,8,M1,0.49523809523809526,0.0,0.30188679245283034,0.0,0.034285714285714294,0.0,1.0
no_chat,3,3,M0,0.6333333333333333,0.0,0.0,0.0,0.15666666666666668,0.0,0.0
no_chat,3,3,M1,0.6333333333333333,0.0,0.0,0.0,0.15666666666666668,0.0,0.0
no_chat,3,5,M0,0.4111111111111111,0.0,0.0,0.0,0.2455555555555556,0.0,0.0
no_chat,3,5,M1,0.4111111111111111,0.0,0.0,0.0,0.2455555555555556,0.0,0.0
no_chat,3,8,M0,0.09999999999999998,0.0,0.0,0.0,0.21000000000000005,0.0,0.0
no_chat,3,8,M1,0.09999999999999998,0.0,0.0,0.0,0.21000000000000005,0.0,0.0
no_chat,5,3,M0,0.7733333333333333,0.0,0.6823529411764706,0.0,0.12533333333333335,0.0,0.0
no_chat,5,3,M1,0.7733333333333333,0.0,0.6823529411764706,0.0,0.12533333333333335,0.0,0.0
no_chat,5,5,M0,0.64,0.0,0.3555555555555556,0.0,0.24533333333333332,0.0,0.0
no_chat,5,5,M1,0.64,0.0,0.3555555555555556,0.0,0.24533333333333332,0.0,0.0
no_chat,5,8,M0,0.4622222222222222,0.0,0.17190082644628113,0.0,0.15644444444444444,0.0,0.0
no_chat,5,8,M1,0.4622222222222222,0.0,0.17190082644628113,0.0,0.15644444444444444,0.0,0.0
no_chat,7,3,M0,0.6547619047619048,0.0,0.541871921182266,0.0,0.13392857142857142,0.0,1.0
no_chat,7,3,M1,0.6547619047619048,0.0,0.541871921182266,0.0,0.13392857142857142,0.0,1.0
no_chat,7,5,M0,0.6190476190476191,0.0,0.4642857142857144,0.0,0.17142857142857146,0.0,1.0
no_chat,7,5,M1,0.6190476190476191,0.0,0.4642857142857144,0.0,0.17142857142857146,0.0,1.0
no_chat,7,8,M0,0.6111111111111112,0.0,0.44897959183673475,0.0,0.1753968253968254,0.0,0.0
no_chat,7,8,M1,0.6111111111111112,0.0,0.44897959183673475,0.0,0.1753968253968254,0.0,0.0
roundtable,3,3,M0,0.6333333333333333,0.0,0.060606060606060774,0.0,0.11444444444444443,1.5515838457795457e-17,0.0
roundtable,3,3,M1,0.6333333333333333,0.0,0.060606060606060774,0.0,0.11444444444444443,1.5515838457795457e-17,0.0
roundtable,3,5,M0,0.4444444444444445,6.206335383118183e-17,0.26666666666666683,0.0,0.0,0.0,0.0
roundtable,3,5,M1,0.4444444444444445,6.206335383118183e-17,0.26666666666666683,0.0,0.0,0.0,0.0
roundtable,3,8,M0,0.4444444444444445,6.206335383118183e-17,0.26666666666666683,0.0,0.0,0.0,0.0
roundtable,3,8,M1,0.4444444444444445,6.206335383118183e-17,0.26666666666666683,0.0,0.0,0.0,0.0
roundtable,5,3,M0,0.5466666666666666,0.0,0.2588235294117647,0.0,0.11200000000000002,0.0,1.0
roundtable,5,3,M1,0.5466666666666666,0.0,0.2588235294117647,0.0,0.11200000000000002,0.0,1.0
roundtable,5,5,M0,0.5555555555555556,0.0,0.28,0.0,0.08888888888888888,0.0,1.0
roundtable,5,5,M1,0.5555555555555556,0.0,0.28,0.0,0.08888888888888888,0.0,1.0
roundtable,5,8,M0,0.4666666666666667,0.0,0.25,0.0,0.0,0.0,0.0
roundtable,5,8,M1,0.4666666666666667,0.0,0.25,0.0,0.0,0.0,0.0
roundtable,7,3,M0,0.5079365079365079,0.0,0.3317972350230416,0.0,0.03174603174603175,0.0,1.0
roundtable,7,3,M1,0.5079365079365079,0.0,0.3317972350230416,0.0,0.03174603174603175,0.0,1.0
roundtable,7,5,M0,0.4920634920634921,0.0,0.2946428571428572,0.0,0.03174603174603175,0.0,1.0
roundtable,7,5,M1,0.4920634920634921,0.0,0.2946428571428572,0.0,0.03174603174603175,0.0,1.0
roundtable,7,8,M0,0.49523809523809526,0.0,0.30188679245283034,0.0,0.034285714285714294,0.0,1.0
roundtable,7,8,M1,0.49523809523809526,0.0,0.30188679245283034,0.0,0.034285714285714294,0.0,1.0
