phase,N,regen,protocol,memory,seed,U_total,cooperation,gini,stability_var,collapsed,t_collapse,U_per_agent
phase2,7,3,no_chat,M0,0,29,0.6547619047619048,0.541871921182266,0.13392857142857142,1,3,"[1, 1, 1, 12, 1, 12, 1]"
phase2,7,3,no_chat,M0,1,29,0.6547619047619048,0.541871921182266,0.13392857142857142,1,3,"[1, 12, 1, 12, 1, 1, 1]"
phase2,7,3,no_chat,M0,2,29,0.6547619047619048,0.541871921182266,0.13392857142857142,1,3,"[12, 12, 1, 1, 1, 1, 1]"
phase2,7,3,no_chat,M1,0,29,0.6547619047619048,0.541871921182266,0.13392857142857142,1,3,"[1, 1, 1, 12, 1, 12, 1]"
phase2,7,3,no_chat,M1,1,29,0.6547619047619048,0.541871921182266,0.13392857142857142,1,3,"[1, 12, 1, 12, 1, 1, 1]"
phase2,7,3,no_chat,M1,2,29,0.6547619047619048,0.541871921182266,0.13392857142857142,1,3,"[12, 12, 1, 1, 1, 1, 1]"
phase2,7,3,no_chat,M2,0,29,0.6547619047619048,0.541871921182266,0.13392857142857142,1,3,"[1, 1, 1, 12, 1, 12, 1]"
phase2,7,3,no_chat,M2,1,29,0.6547619047619048,0.541871921182266,0.13392857142857142,1,3,"[1, 12, 1, 12, 1, 1, 1]"
phase2,7,3,no_chat,M2,2,29,0.6547619047619048,0.541871921182266,0.13392857142857142,1,3,"[12, 12, 1, 1, 1, 1, 1]"
phase2,7,3,roundtable,M0,0,31,0.5079365079365079,0.3317972350230416,0.03174603174603175,1,2,"[3, 3, 3, 9, 1, 9, 3]"
phase2,7,3,roundtable,M0,1,31,0.5079365079365079,0.3317972350230416,0.03174603174603175,1,2,"[3, 9, 1, 9, 3, 3, 3]"
phase2,7,3,roundtable,M0,2,31,0.5079365079365079,0.3317972350230416,0.03174603174603175,1,2,"[9, 9, 3, 3, 3, 1, 3]"
phase2,7,3,roundtable,M1,0,31,0.5079365079365079,0.3317972350230416,0.03174603174603175,1,2,"[3, 3, 3, 9, 1, 9, 3]"
phase2,7,3,roundtable,M1,1,31,0.5079365079365079,0.3317972350230416,0.03174603174603175,1,2,"[3, 9, 1, 9, 3, 3, 3]"
